Professionshøjskoler efter alder, køn, herkomst, status, uddannelse, institution og tid;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
101562 CVU ØreSund;74;63;18;0;0;0;0;0;0;0;0;0;0;0;0;0
151408 CVU Storkøbenhavn;0;17;13;0;0;0;0;0;0;0;0;0;0;0;0;0
219416 Københavns Professionshøjskole (UCC);2220;2219;2214;2176;2207;2174;1715;1503;1679;1945;2126;1662;0;0;0;0
219417 Københavns Professionshøjskole;1514;1288;1278;1733;1720;1774;1855;1632;1903;2089;2196;2878;4341;4248;4228;4134
101562 CVU ØreSund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151408 CVU Storkøbenhavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219416 Københavns Professionshøjskole (UCC);2041;2093;2087;2054;2029;2022;1527;1355;1485;1713;1879;1534;0;0;0;0
219417 Københavns Professionshøjskole;174;184;159;181;175;181;174;201;207;227;246;678;2072;2015;1946;1958
101562 CVU ØreSund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151408 CVU Storkøbenhavn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
219416 Københavns Professionshøjskole (UCC);1393;1450;1417;1361;1443;1405;1035;815;999;1126;1271;1332;0;0;0;0
219417 Københavns Professionshøjskole;0;0;0;0;0;0;0;0;0;0;0;103;1381;1382;1344;1353